reference;name;description;price;image
1;produit update - Huile essentielle BIO;Aïe... Faites disparaître les bleus ! Cette belle fleur jaune poussant sur les versants caillouteux de la Corse ou d'Italie est aussi nommée Immortelle car elle ne fane pas après avoir été cueillie. L’huile essentielle d’Hélichryse Italienne est l'huile essentielle qu’il vous faut pour lutter contre les troubles majeurs de la circulation sanguine. Elle est également très puissante pour les soins réparateurs cutanés car elle accélère la cicatrisation. Bleus.Voie cutanée : quelques gouttes pures sur la zone touchée, 5 fois par jour, jusqu’à disparition du bleu. Couperose. Voie cutanée : 1 goutte pure sur la zone touchée, et 2 gouttes mélangées à une noix de crème hydratante, 2 fois par jour, jusqu’à guérison. Cicatrices, vergetures. Voie cutanée : 2 goutte pures sur la zone touchée, 2 fois par jour, jusqu’à cicatrisation. Cernes. Voie cutanée : 1 goutte dans 4 gouttes d'huile végétale ou dans une noix de votre crème hydratante, 2 fois par jour, matin et soir. (Attention à ne pas en mettre dans vos yeux!) Entorses. Voie cutanée : 3 gouttes pures sur l’entorse, après l’avoir refroidie avec une poche de glace, 1 fois par jour, jusqu’à disparition de l’entorse. Acouphènes. Voie cutanée : 2 gouttes en massage autour de l'oreille 3 fois par jour jusqu'à amélioration.;26,7;www.compagnie-des-sens.fr/939-home_default/helichryse-italienne-huile-essentielle-bio.jpg
2;CAMOMILLE ROMAINE - Huile essentielle BIO;L'efficacité tout en douceur ! L'huile essentielle de Camomille Romaine est très douce et fait donc partie des huiles essentielles particulièrement adaptées aux bébés et aux femmes enceintes. Ses propriétés calmantes et relaxantes font d'elle une excellente alliée pour trouver le sommeil et calmer ses angoisses. Crise d’angoisse, claustrophobie.Voie orale : Déposez 1 goutte pure sous la langue. En inhalation : Respirer directement le flacon. Crise d'asthme d'origine nerveuse. Par voie cutanée : 1 goutte pure sur le plexus solaire et une goutte sous la langue, à renouveler tous les 1/4 d'heure pendant une crise.;17,7;www.compagnie-des-sens.fr/658-home_default/camomille-romaine-huile-essentielle-bio.jpg
3;PIN SYLVESTRE - Huile essentielle BIO;Un grand bol d'air frais !   Le Pin Sylvestre est un arbre majestueux qui pousse dans toute l'Europe et jusqu'en Sibérie. Il est difficile de ne pas le remarquer car il peut atteindre 40 mètres de haut et vivre un demi-millénaire ! Comme la majorité des huiles essentielles tirées des Conifères, l'huile essentielle de Pin Sylvestre agit principalement sur la sphère respiratoire : il libère les voies encombrées et agit contre la toux et la sinusite. Il est également connu pour ses propriétés toniques. Enfin, en diffusion, son odeur fraîche et résineuse est très agréable et il possède un pouvoir antiseptique notable.   Toux.Voie cutanée : 1 goutte dans 4 gouttes d'huile végétale à appliquer sur le thorax et le haut du dos. Réaliser l'application 4 fois par jour pendant 5 jours. Fatigue.Voie cutanée : 1 goutte dans 4 gouttes d'huile végétale à appliquer en massage dans le bas du dos, sur les reins. Renouveler l'application matin et midi pendant une semaine.;3,9;www.compagnie-des-sens.fr/890-home_default/pin-sylvestre-huile-essentielle-bio.jpg
4;LAVANDE ASPIC - Huile essentielle BIO;Incroyable sur les brûlures, piqûres, morsures... Poussant en zone méditerranéenne, la lavande aspic connaît bien le soleil et produit d'ailleurs une huile essentielle d'une efficacité incroyable contre tout type de brûlures (1er et 2ème degrés) et notamment les fameux coups de soleil. Si vous aimez l'aventure, cette huile essentielle vous suivra partout, elle est également fabuleuse sur toutes les piqûres à venin et éloigne les moustiques ! Brûlures (même sévères !), coups de soleil.Voie cutanée : 1 à 5 gouttes pures sur la brûlure (selon l’étendue), tous les 1/4 d’heure après apparition de la brûlure, puis 3 fois par jour, jusqu'à disparition. Piqûres d’animaux venimeux (guêpes, méduses, vives, scorpions, puces).Voie cutanée : 1 goutte pure sur le bouton, le plus rapidement possible après apparition de la piqûre. À renouveler tous les 1/4 d’heure, si besoin. Morsures d'animaux venimeux (araignées, taon, aoûtat).Voie cutanée : après nettoyage et séchage de la plaie, appliquer quelques gouttes pures sur la morsure. À renouveler régulièrement sur la journée. Eczéma suintant.Voie cutanée : 2 gouttes pures sur les plaques, 3 fois par jour, jusqu’à disparition. Eczéma sec.  Voie cutanée : 2 gouttes pures sur les plaques, 3 fois par jour, jusqu’à disparition.;4,2;www.compagnie-des-sens.fr/733-home_default/lavande-aspic-huile-essentielle-bio.jpg
5;EUCALYPTUS RADIATA - Huile essentielle BIO;L'huile essentielle des problèmes ORL !  L'huile essentielle d'Eucalyptus Radiata est l'une des rares huiles essentielles à pouvoir être utilisée par tous (sauf les femmes enceintes de - de 3 mois qui ne peuvent pas utiliser les huiles essentielles). Majoritairement composée de 1,8-cinéole, molécule qui possède une activité expectorante et mucolytique puissante, elle est très efficace pour tous les problèmes ORL comme le rhume, la sinusite, l'angine, la bronchite ou tout simplement la  toux. Rhume. Voie orale : 2 gouttes pures sous la langue, ou dans une tisane (préalablement mélangées dans une cuillère à café de miel ou un sucre), 4 fois par jour pendant 2 jours. Inhalation : 1 grande inspiration directement au-dessus du flacon ouvert, 4 à 6 fois par jour. Bronchite.Voie cutanée : 1 goutte dans 4 gouttes d'huile végétale en massage sur le thorax, 3 fois par jour jusqu’à amélioration.Inhalation : 1 grande inspiration directement au-dessus du flacon ouvert, 4 à 6 fois par jour. Sinusite.Inhalation : après un lavage de nez à l’eau de mer, respirer 2 gouttes pures déposées sur un mouchoir, 5 fois par jour, jusqu’à amélioration. Otite. Voie cutanée : 1 goutte dans 4 gouttes d'huile végétale en massage autour de l’oreille touchée (et non dedans), 3 fois par jour, jusqu’à disparition de la douleur. Toux grasse.Voie cutanée : 1 goutte dans 4 gouttes d'huile végétale, appliquer sur le thorax et le haut du dos 4 fois par jour pendant 5 jours.;3,3;www.compagnie-des-sens.fr/710-home_default/eucalyptus-radiata-huile-essentielle-bio.jpg
6;Diffuseur Daolia;Le diffuseur Daolia est indéniablement un diffuseur d'huile essentielle haut de gamme caractérisé par une puissance de diffusion très importante, adapté à des pièces allant de 40 à 100m2 . Son design épuré et traditionnel lui permet de s'intégrer en toute simplicité à une décoration d'intérieur. Le Daolia dispose aussi d'une minuterie et d'un régulateur de puissance permettant à son utilisateur de diffuser avec précision en fonction des besoins. S'appuyant sur la technologie de nébulisation, le Daolia diffuse les huiles essentielles dans une brume légère sans les chauffer permettant ainsi de conserver la pureté des huiles essentielles et permettant aux molécules de se propager plus loin.Révolutionnez votre intérieur grâce au diffuseur Daolia ! ;60,6;www.compagnie-des-sens.fr/1194-home_default/diffuseur-daolia.jpg
7;Diffuseur Pluglia;Parfait pour les enfants !Le diffuseur Pluglia vous permet de diffuser vos huiles essentielles et de profiter de leurs vertus avec un maximum d’efficacité depuis n’importe quelle prise électrique. Totalement silencieux et diffusant une belle lumière bleue, le Pluglia s'adapte parfaitement dans les chambres d'enfants. Il propose en effet une utilisation deux en un, diffuseur d'huile essentielle et veilleuse !Ce diffuseur est discret et autonome, et grâce à sa minuterie, choisissez la durée de diffusion qui vous convient. Son efficacité est optimale pour une pièce allant jusqu’à 20 m².;30;www.compagnie-des-sens.fr/1195-home_default/diffuseur-pluglia.jpg
8;Diffuseur USB Keylia;Compact et discret, le diffuseur Keylia est le plus petit et pratique de tous. Il vous suit où que vous alliez grâce à son port USB. Au bureau ou à la maison, travaillez ou détendez-vous dans l'atmosphère bienfaisante des huiles essentielles !Sa technologie de diffusion par ultrasons diffuse vos huiles essentielles en les projetant par micro-gouttes, efficace dans un espace allant jusqu'à 10 m². Ce système de diffusion à froid permet de conserver toutes les propriétés des huiles essentielles.Son réservoir vous permettra d'emporter partout avec vous vos huiles essentielles. Ce diffuseur d'huile essentielle ne nécessite pas un entretien contraignant, il est donc parfait pour les personnes qui n'ont pas une minute à perdre.;17,4;www.compagnie-des-sens.fr/1196-home_default/diffuseur-usb-keylia.jpg
10;Diffuseur Lila;Le diffuseur Lila, de taille moyenne, a un design sobre et moderne  en forme de tulipe. Il est à la fois  très agréable à l’œil et coloré par un éclairage fait de LED changeant de couleurs. Une fois le diffuseur mis en marche, des cascades de brume se déversent hors de la vasque. Spectacle garanti ! Ce diffuseur d'huiles essentielles dégage une brume légère composée de vapeur d’eau et d’huiles essentielles, ce qui permet d’assainir l’air ambiant et de l’humidifier. Les huiles essentielles sont diffusées à froid et conservent ainsi toutes leurs vertus. Ce type de diffuseur est parfaitement adapté pour les environnements secs et les grandes pièces allant jusqu'à 50 m2.;44,4;www.compagnie-des-sens.fr/1197-home_default/diffuseur-lila.jpg
11;Diffuseur Bao;Le diffuseur Bao est la combinaison remarquable de l’efficacité et de la beauté. À son socle élégant s’ajoute une belle verrerie artisanale. Une fois en marche, un éclairage LED vient compléter sa délicatesse.  Ce diffuseur d'huile essentielle de qualité se base sur un système de nébulisation à froid qui conserve toutes les vertus thérapeutiques des huiles essentielles. Sa brume légère et parfumée est idéale pour purifier l’air ambiant d'une pièce de 10 à 100 m². Pour régler avec précision la diffusion dans votre intérieur, une minuterie et un régulateur de puissance sont intégrés. Créez une ambiance envoûtante grâce au diffuseur Bao !;49,8;www.compagnie-des-sens.fr/1198-home_default/diffuseur-bao.jpg
